text,category
"Large pothole on the main road causing accidents",Road
"Road is badly damaged near the market",Road
"Deep potholes near the college entrance",Road
"Broken asphalt road in our locality",Road
"Several potholes making the road unsafe",Road
"Road surface has completely deteriorated",Road
"Large crack on the road near the bus stop",Road
"Damaged road causing traffic problems",Road
"Main street needs urgent road repair",Road
"Road is full of potholes after rainfall",Road
"Broken pavement near the residential area",Road
"Road construction has been left incomplete",Road
"Vehicles are having difficulty because of damaged road",Road
"Road near school is dangerous because of potholes",Road
"Street has broken surface and needs repair",Road
"Road has collapsed near the drainage area",Road
"Several roads in the ward require maintenance",Road
"Road damage is causing frequent accidents",Road
"Repair the damaged road near the hospital",Road
"Large pothole blocking one side of the road",Road
"No water supply in our locality",Water
"Drinking water has not been available since morning",Water
"Water pipeline is leaking continuously",Water
"Dirty water is coming from the tap",Water
"Water supply has stopped in our village",Water
"Broken water pipe is flooding the street",Water
"Low water pressure in our area",Water
"Water tank is not supplying residents",Water
"People are facing shortage of drinking water",Water
"Pipeline leakage near the market",Water
"Water is contaminated and unsafe to drink",Water
"Municipal water supply is irregular",Water
"No clean drinking water near the school",Water
"Water pipe damaged during road construction",Water
"Residents have not received water for two days",Water
"Public water tap is not working",Water
"Water is overflowing from a broken pipeline",Water
"Shortage of water in the residential area",Water
"Need urgent repair of the water pipeline",Water
"Tap water has a bad smell",Water
"Frequent power cuts in our locality",Electricity
"Electric pole is damaged and dangerous",Electricity
"Power outage in the entire neighborhood",Electricity
"Broken electric wire hanging over the road",Electricity
"Street electricity line is damaged",Electricity
"No electricity since last night",Electricity
"Transformer is making dangerous sounds",Electricity
"Electric pole is leaning and may fall",Electricity
"Power supply is very unstable",Electricity
"Broken cable near residential area",Electricity
"Electric wires are exposed near the road",Electricity
"Voltage is fluctuating frequently",Electricity
"Electric transformer needs repair",Electricity
"Power has been disconnected in our street",Electricity
"Electrical fault causing repeated power failures",Electricity
"Damaged power line near the market",Electricity
"Residents are facing long power cuts",Electricity
"Electric pole was damaged during the storm",Electricity
"Need urgent repair of the electricity line",Electricity
"Power supply problem affecting many houses",Electricity
"Garbage has not been collected for many days",Garbage
"Large garbage pile near residential area",Garbage
"Garbage bins are overflowing",Garbage
"Waste is dumped beside the road",Garbage
"Municipal garbage collection is irregular",Garbage
"Rotten garbage is creating a bad smell",Garbage
"Trash is scattered around the market",Garbage
"Garbage truck has not visited our locality",Garbage
"Plastic waste is accumulating near the drain",Garbage
"Public dustbin is overflowing",Garbage
"Household waste is not being collected",Garbage
"Garbage dumped illegally near the school",Garbage
"Waste has accumulated for one week",Garbage
"Dirty garbage area attracting stray animals",Garbage
"Need immediate removal of garbage from the street",Garbage
"Large waste pile blocking the footpath",Garbage
"Garbage collection problem in our ward",Garbage
"Residents are complaining about uncollected waste",Garbage
"Garbage is spreading across the roadside",Garbage
"Overflowing waste bins are causing hygiene problems",Garbage
"Drain is blocked and dirty water is overflowing",Drainage
"Severe drainage problem after rainfall",Drainage
"Water is accumulating because the drain is blocked",Drainage
"Drainage system is completely clogged",Drainage
"Sewage water is flowing onto the road",Drainage
"Blocked drain causing flooding in the street",Drainage
"Dirty wastewater is entering houses",Drainage
"Drain near the market is overflowing",Drainage
"Open drain is creating health problems",Drainage
"Drain is full of garbage and blocked",Drainage
"Rainwater is not draining from the road",Drainage
"Broken drainage pipe causing water leakage",Drainage
"Flooding caused by poor drainage",Drainage
"Drain cleaning is required urgently",Drainage
"Blocked sewer line near residential area",Drainage
"Drainage water has a foul smell",Drainage
"Waterlogging occurs whenever it rains",Drainage
"Municipal drain is overflowing",Drainage
"Drain blockage causing traffic problems",Drainage
"Need repair of damaged drainage system",Drainage
"Street light is not working at night",Streetlight
"Several streetlights are broken",Streetlight
"No light on the road creating safety problems",Streetlight
"Street lamp near the school is not working",Streetlight
"Dark road because streetlights are damaged",Streetlight
"Streetlight has been off for several days",Streetlight
"Broken lamp post near the market",Streetlight
"No street lighting in our locality",Streetlight
"Streetlights are not working after sunset",Streetlight
"Need replacement of damaged street lamps",Streetlight
"Road becomes completely dark at night",Streetlight
"Streetlight pole is damaged",Streetlight
"Multiple lights are not functioning",Streetlight
"Street lamp needs urgent repair",Streetlight
"Broken light creating danger for pedestrians",Streetlight
"Streetlights stopped working after rain",Streetlight
"Dark street causing safety concerns",Streetlight
"Light near the bus stop is broken",Streetlight
"Public street lamp needs maintenance",Streetlight
"Street lighting problem in our ward",Streetlight
"Public park needs improvement",Other
"Community hall requires maintenance",Other
"Illegal construction reported in our locality",Other
"Public toilet is not properly maintained",Other
"Footpath is occupied by illegal structures",Other
"Need repair of the community center",Other
"Park equipment is damaged",Other
"Public facility requires maintenance",Other
"Illegal encroachment reported near the market",Other
"Bus shelter is damaged",Other
"Public playground needs repair",Other
"Community building needs renovation",Other
"Broken benches in the public park",Other
"Footpath needs improvement",Other
"Public toilet requires cleaning and maintenance",Other
"Unauthorized construction blocking the road",Other
"Need maintenance of public property",Other
"Damaged bus stop shelter",Other
"Park is poorly maintained",Other
"Public facility complaint in our ward",Other
